date,sessions,users,page_views,bounce_rate,avg_session_duration,conversions,revenue,channel
2024-01-01,4200,3100,12400,0.42,185,84,8400,Organic
2024-01-02,3800,2900,11200,0.44,172,76,7600,Paid
2024-01-03,4500,3400,13500,0.39,196,99,9900,Organic
2024-01-04,3200,2400,9600,0.51,158,58,5800,Email
2024-01-05,2800,2100,8400,0.55,143,48,4800,Direct
2024-01-06,5100,3900,15300,0.37,211,112,11200,Organic
2024-01-07,4900,3700,14700,0.38,205,107,10700,Paid
2024-01-08,4300,3200,12900,0.41,189,90,9000,Organic
2024-01-09,3900,2950,11700,0.43,175,79,7900,Direct
2024-01-10,4700,3550,14100,0.40,200,103,10300,Organic
2024-01-11,5300,4050,15900,0.36,218,121,12100,Paid
2024-01-12,4100,3050,12300,0.42,183,87,8700,Social
2024-01-13,3600,2700,10800,0.48,163,68,6800,Email
2024-01-14,4800,3650,14400,0.39,203,108,10800,Organic
2024-01-15,5500,4200,16500,0.35,224,132,13200,Paid
2024-01-16,4400,3300,13200,0.41,190,95,9500,Organic
2024-01-17,3700,2800,11100,0.46,166,71,7100,Social
2024-01-18,4600,3500,13800,0.40,198,104,10400,Organic
2024-01-19,5200,3950,15600,0.37,214,119,11900,Paid
2024-01-20,4000,2980,12000,0.43,180,82,8200,Direct
2024-01-21,3500,2600,10500,0.50,160,64,6400,Email
2024-01-22,5800,4400,17400,0.34,231,145,14500,Organic
2024-01-23,5600,4250,16800,0.35,226,138,13800,Paid
2024-01-24,4200,3150,12600,0.42,186,88,8800,Social
2024-01-25,3900,2920,11700,0.44,174,78,7800,Direct
2024-01-26,5000,3800,15000,0.38,208,115,11500,Organic
2024-01-27,5400,4100,16200,0.36,220,128,12800,Paid
2024-01-28,4700,3580,14100,0.40,201,106,10600,Organic
2024-01-29,4100,3080,12300,0.42,184,86,8600,Email
2024-01-30,6000,4600,18000,0.33,238,156,15600,Organic
